"indicador_id","localidade_id","ano","valor","justificativa","data_insercao","data_referencia","fonte","url_fonte","metodologia_calculo","data_coleta","confiabilidade","usuario_insercao","processo_etl","versao_metodologia","flags","nota","esfera_poder","metadados","direcionalidade"
"CAPAG - Poupança Corrente","4306205","2022","0.924598783737678","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","B","municipal","{'nota': 'B', 'frequencia': 'anual', 'esferaDePoder': 'municipal'}","a > b > c"
"CAPAG - Liquidez","4306205","2022","0.0207225796784702","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","A","municipal","{'nota': 'A', 'frequencia': 'anual', 'esferaDePoder': 'municipal'}","a > b > c"
"CAPAG - Nota Final","4306205","2022","","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","C","municipal","{'nota': 'C', 'frequencia': 'anual', 'esferaDePoder': 'municipal'}","a > b > c"
"CAPAG - Endividamento","2403004","2022","0.0673890887935857","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","A","municipal","{'nota': 'A', 'frequencia': 'anual', 'esferaDePoder': 'municipal'}","a > b > c"
"CAPAG - Poupança Corrente","2403004","2022","0.918195496317368","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","B","municipal","{'nota': 'B', 'frequencia': 'anual', 'esferaDePoder': 'municipal'}","a > b > c"
"CAPAG - Liquidez","2403004","2022","0.06419146996707","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","A","municipal","{'nota': 'A', 'frequencia': 'anual', 'esferaDePoder': 'municipal'}","a > b > c"
"CAPAG - Nota Final","2403004","2022","","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","n.d.","municipal","{'nota': 'n.d.', 'frequencia': 'anual', 'esferaDePoder': 'municipal'}","a > b > c"
"CAPAG - Endividamento","3120805","2022","0.00219878616878462","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","A","municipal","{'nota': 'A', 'frequencia': 'anual', 'esferaDePoder': 'municipal'}","a > b > c"
"CAPAG - Poupança Corrente","3120805","2022","0.874226411710726","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","B","municipal","{'nota': 'B', 'frequencia': 'anual', 'esferaDePoder': 'municipal'}","a > b > c"
"CAPAG - Liquidez","3120805","2022","0.0409447989402834","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","A","municipal","{'nota': 'A', 'frequencia': 'anual', 'esferaDePoder': 'municipal'}","a > b > c"
"CAPAG - Nota Final","3120805","2022","","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","B","municipal","{'nota': 'B', 'frequencia': 'anual', 'esferaDePoder': 'municipal'}","a > b > c"
"CAPAG - Endividamento","4106852","2022","0.00968993647406535","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","A","municipal","{'nota': 'A', 'frequencia': 'anual', 'esferaDePoder': 'municipal'}","a > b > c"
"CAPAG - Poupança Corrente","4106852","2022","0.775246966386608","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","A","municipal","{'nota': 'A', 'frequencia': 'anual', 'esferaDePoder': 'municipal'}","a > b > c"
"CAPAG - Liquidez","4106852","2022","0.00319620363119901","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","A","municipal","{'nota': 'A', 'frequencia': 'anual', 'esferaDePoder': 'municipal'}","a > b > c"
"CAPAG - Nota Final","4106852","2022","","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","A","municipal","{'nota': 'A', 'frequencia': 'anual', 'esferaDePoder': 'municipal'}","a > b > c"
"CAPAG - Endividamento","3513504","2022","0.463048478101374","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","A","municipal","{'nota': 'A', 'frequencia': 'anual', 'esferaDePoder': 'municipal'}","a > b > c"
"CAPAG - Poupança Corrente","3513504","2022","0.758450578851129","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","A","municipal","{'nota': 'A', 'frequencia': 'anual', 'esferaDePoder': 'municipal'}","a > b > c"
"CAPAG - Liquidez","3513504","2022","0.290878597320411","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","A","municipal","{'nota': 'A', 'frequencia': 'anual', 'esferaDePoder': 'municipal'}","a > b > c"
"CAPAG - Nota Final","3513504","2022","","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","A","municipal","{'nota': 'A', 'frequencia': 'anual', 'esferaDePoder': 'municipal'}","a > b > c"
"CAPAG - Endividamento","2505006","2022","0.6950628739901","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","B","municipal","{'nota': 'B', 'frequencia': 'anual', 'esferaDePoder': 'municipal'}","a > b > c"
"CAPAG - Poupança Corrente","2505006","2022","0.896659800134323","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","B","municipal","{'nota': 'B', 'frequencia': 'anual', 'esferaDePoder': 'municipal'}","a > b > c"
"CAPAG - Liquidez","2505006","2022","0.553388485221158","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","A","municipal","{'nota': 'A', 'frequencia': 'anual', 'esferaDePoder': 'municipal'}","a > b > c"
"CAPAG - Nota Final","2505006","2022","","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","B","municipal","{'nota': 'B', 'frequencia': 'anual', 'esferaDePoder': 'municipal'}","a > b > c"
"CAPAG - Endividamento","5103403","2022","0.271508835039023","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","A","municipal","{'nota': 'A', 'frequencia': 'anual', 'esferaDePoder': 'municipal'}","a > b > c"
"CAPAG - Poupança Corrente","5103403","2022","0.945921991019129","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","B","municipal","{'nota': 'B', 'frequencia': 'anual', 'esferaDePoder': 'municipal'}","a > b > c"
"CAPAG - Liquidez","5103403","2022","2.68413363857982","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","C","municipal","{'nota': 'C', 'frequencia': 'anual', 'esferaDePoder': 'municipal'}","a > b > c"
"CAPAG - Nota Final","5103403","2022","","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","C","municipal","{'nota': 'C', 'frequencia': 'anual', 'esferaDePoder': 'municipal'}","a > b > c"
"CAPAG - Endividamento","2505105","2022","0.274308552057584","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","A","municipal","{'nota': 'A', 'frequencia': 'anual', 'esferaDePoder': 'municipal'}","a > b > c"
"CAPAG - Poupança Corrente","2505105","2022","1.03421699981745","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","C","municipal","{'nota': 'C', 'frequencia': 'anual', 'esferaDePoder': 'municipal'}","a > b > c"
